office,service_time,patience,mode,plan,staff_hours,found_by,worst_served_late,served_late_misses,worst_fail,fail_misses,overall_fail,overall_abandon,worst_hour_abandon,abandoned_per_day,wasted_min_per_leaver,mean_wait_served,served_late_by_hour,fail_by_hour
R8_S16_A0.6,16.0,exp60,balk,"[7, 12, 9, 6, 5, 8, 12, 8]",67,SGS-UCB (late)@balk,0.0658,0,0.1322,5,0.1094,0.0635,0.0828,15.24,0.0,3.442,"[0.0538, 0.056, 0.0599, 0.0374, 0.0378, 0.0417, 0.036, 0.0658]","[0.1322, 0.1206, 0.1141, 0.0741, 0.0911, 0.1121, 0.0828, 0.1277]"
R8_S16_A0.6,16.0,exp60,renege,"[8, 13, 9, 6, 5, 9, 12, 9]",71,SGS-UCB (fail)@renege,0.033,0,0.0771,0,0.0664,0.0434,0.0477,10.41,4.93,2.453,"[0.0219, 0.0225, 0.0297, 0.0257, 0.033, 0.0144, 0.0255, 0.0291]","[0.0637, 0.0676, 0.0712, 0.0602, 0.0771, 0.0533, 0.072, 0.0684]"
R8_S16_A0.6,16.0,exp60,balk,"[8, 13, 9, 6, 5, 9, 12, 9]",71,SGS-UCB (fail)@renege,0.0392,0,0.0905,0,0.0732,0.0456,0.0552,10.94,0.0,2.506,"[0.0248, 0.0262, 0.0392, 0.0369, 0.0374, 0.0173, 0.0298, 0.0344]","[0.0758, 0.0683, 0.0817, 0.0721, 0.0905, 0.061, 0.0739, 0.0764]"
R8_S16_A0.6,16.0,exp60,renege,"[8, 13, 9, 7, 5, 9, 12, 9]",72,SGS-UCB (fail)@balk,0.0288,0,0.0717,0,0.0634,0.042,0.0475,10.09,4.85,2.375,"[0.0219, 0.0225, 0.0284, 0.0094, 0.026, 0.0136, 0.0254, 0.0288]","[0.0637, 0.0676, 0.0696, 0.0294, 0.0665, 0.0524, 0.0717, 0.0682]"
R8_S16_A0.6,16.0,exp60,balk,"[8, 13, 9, 7, 5, 9, 12, 9]",72,SGS-UCB (fail)@balk,0.038,0,0.0804,0,0.0698,0.044,0.0522,10.57,0.0,2.421,"[0.0248, 0.0262, 0.038, 0.0155, 0.0307, 0.017, 0.0296, 0.0342]","[0.0758, 0.0683, 0.0804, 0.0346, 0.0784, 0.0605, 0.0736, 0.0762]"
R8_S16_A0.6,16.0,exp60,renege,"[8, 15, 9, 7, 6, 9, 14, 9]",77,no-abandonment SGS-UCB@-,0.0209,0,0.0618,0,0.0361,0.0265,0.0417,6.36,4.22,1.494,"[0.0209, 0.0041, 0.013, 0.0092, 0.0098, 0.0112, 0.004, 0.0119]","[0.0618, 0.0233, 0.0407, 0.0274, 0.0305, 0.0478, 0.0224, 0.0378]"
R8_S16_A0.6,16.0,exp60,balk,"[8, 15, 9, 7, 6, 9, 14, 9]",77,no-abandonment SGS-UCB@-,0.024,0,0.075,0,0.0411,0.0289,0.0522,6.93,0.0,1.504,"[0.024, 0.0053, 0.0164, 0.0126, 0.0112, 0.0144, 0.0066, 0.0168]","[0.075, 0.0229, 0.0451, 0.03, 0.0359, 0.0567, 0.0242, 0.0439]"
R8_S16_A0.6,16.0,exp60,renege,"[10, 14, 8, 6, 6, 10, 13, 8]",75,SIPP-A (fail)@renege; SIPP-A (fail)@balk,0.0388,0,0.0871,0,0.0449,0.0302,0.0503,7.25,4.69,1.703,"[0.0027, 0.0084, 0.0388, 0.034, 0.0161, 0.0046, 0.01, 0.0356]","[0.0189, 0.0344, 0.0871, 0.0746, 0.0407, 0.0259, 0.0379, 0.0827]"
R8_S16_A0.6,16.0,exp60,balk,"[10, 14, 8, 6, 6, 10, 13, 8]",75,SIPP-A (fail)@renege; SIPP-A (fail)@balk,0.0463,0,0.0966,0,0.0502,0.0316,0.0527,7.6,0.0,1.768,"[0.0037, 0.0114, 0.0463, 0.0441, 0.0186, 0.0061, 0.0143, 0.0423]","[0.0226, 0.0363, 0.0966, 0.0869, 0.0481, 0.0302, 0.0416, 0.091]"
R8_S16_A0.6,16.0,exp60,renege,"[11, 15, 9, 6, 6, 11, 14, 9]",81,SIPP (Erlang-C)@-,0.0219,0,0.0543,0,0.0242,0.018,0.0331,4.33,3.93,1.015,"[0.0006, 0.0027, 0.0131, 0.0219, 0.0141, 0.0016, 0.0031, 0.0122]","[0.01, 0.018, 0.0408, 0.0543, 0.0372, 0.0134, 0.0187, 0.0372]"
R8_S16_A0.6,16.0,exp60,balk,"[11, 15, 9, 6, 6, 11, 14, 9]",81,SIPP (Erlang-C)@-,0.0294,0,0.0621,0,0.0271,0.0189,0.0336,4.54,0.0,1.052,"[0.0009, 0.004, 0.0169, 0.0294, 0.0161, 0.002, 0.0047, 0.0161]","[0.0114, 0.0192, 0.0449, 0.0621, 0.0443, 0.0147, 0.0204, 0.0428]"
R8_S16_A0.6,16.0,logn30,renege,"[7, 13, 9, 6, 5, 8, 12, 9]",69,SGS-UCB (late)@renege,0.0708,0,0.0968,0,0.0878,0.0262,0.028,6.29,14.59,4.1,"[0.0657, 0.0621, 0.0658, 0.0431, 0.048, 0.0655, 0.0708, 0.0659]","[0.0916, 0.0863, 0.0919, 0.0624, 0.0691, 0.0912, 0.0968, 0.0886]"
R8_S16_A0.6,16.0,logn30,balk,"[7, 13, 9, 6, 5, 8, 12, 9]",69,SGS-UCB (late)@renege,0.0834,0,0.1196,1,0.0955,0.0288,0.0556,6.9,0.0,4.071,"[0.0678, 0.0581, 0.0834, 0.0615, 0.0612, 0.0697, 0.0744, 0.0742]","[0.1196, 0.0715, 0.109, 0.0799, 0.09, 0.1068, 0.0913, 0.1007]"
R8_S16_A0.6,16.0,logn30,renege,"[7, 14, 9, 6, 5, 8, 13, 9]",71,SGS-UCB (late)@balk,0.0638,0,0.0892,0,0.0622,0.019,0.0271,4.57,14.33,3.329,"[0.0638, 0.0298, 0.0448, 0.0403, 0.0466, 0.0623, 0.0331, 0.0392]","[0.0892, 0.0424, 0.0637, 0.0589, 0.0671, 0.0866, 0.047, 0.0543]"
R8_S16_A0.6,16.0,logn30,balk,"[7, 14, 9, 6, 5, 8, 13, 9]",71,SGS-UCB (late)@balk,0.0667,0,0.1186,1,0.0716,0.0227,0.0556,5.46,0.0,3.267,"[0.0667, 0.0297, 0.0581, 0.0557, 0.0584, 0.066, 0.0378, 0.0508]","[0.1186, 0.0355, 0.0742, 0.0712, 0.0864, 0.103, 0.0452, 0.0681]"
R8_S16_A0.6,16.0,logn30,renege,"[7, 14, 9, 6, 5, 9, 13, 9]",72,SGS-UCB (fail)@renege,0.0638,0,0.0892,0,0.0535,0.0164,0.0271,3.94,14.24,3.011,"[0.0638, 0.0298, 0.0448, 0.0403, 0.045, 0.0249, 0.0282, 0.0383]","[0.0892, 0.0424, 0.0637, 0.0589, 0.0652, 0.0364, 0.0395, 0.0528]"
