c,rho_fresh,S,patience,r,n_roots,total_rate_per_hour
16,0.8,4.0,30.0,0.9,1,193.7072
16,0.8,4.0,30.0,1.0,1,193.9161
16,0.8,4.0,120.0,0.5,1,192.2781
16,0.8,4.0,120.0,0.9,1,192.5068
16,0.8,4.0,120.0,1.0,1,192.5649
16,0.8,16.0,10.0,0.5,1,49.041
16,0.8,16.0,10.0,0.9,1,50.1693
16,0.8,16.0,10.0,1.0,1,50.5179
16,0.8,16.0,30.0,0.5,1,48.5953
16,0.8,16.0,30.0,0.9,1,49.1709
16,0.8,16.0,30.0,1.0,1,49.3338
16,0.8,16.0,120.0,0.5,1,48.2285
16,0.8,16.0,120.0,0.9,1,48.4268
16,0.8,16.0,120.0,1.0,1,48.479
16,0.95,4.0,10.0,0.5,1,236.3764
16,0.95,4.0,10.0,0.9,1,248.9327
16,0.95,4.0,10.0,1.0,1,254.685
16,0.95,4.0,30.0,0.5,1,232.9426
16,0.95,4.0,30.0,0.9,1,239.1759
16,0.95,4.0,30.0,1.0,1,241.468
16,0.95,4.0,120.0,0.5,1,230.1159
16,0.95,4.0,120.0,0.9,1,232.3099
16,0.95,4.0,120.0,1.0,1,232.974
16,0.95,16.0,10.0,0.5,1,60.4437
16,0.95,16.0,10.0,0.9,1,66.8576
16,0.95,16.0,10.0,1.0,1,71.0006
16,0.95,16.0,30.0,0.5,1,59.3569
16,0.95,16.0,30.0,0.9,1,63.0545
16,0.95,16.0,30.0,1.0,1,64.8669
16,0.95,16.0,120.0,0.5,1,58.2357
16,0.95,16.0,120.0,0.9,1,59.794
16,0.95,16.0,120.0,1.0,1,60.367
16,1.0,4.0,10.0,0.5,1,252.7507
16,1.0,4.0,10.0,0.9,1,281.4234
16,1.0,4.0,10.0,1.0,89,676.8272
16,1.0,4.0,30.0,0.5,1,248.5826
16,1.0,4.0,30.0,0.9,1,266.4719
16,1.0,4.0,30.0,1.0,123,450.508
16,1.0,4.0,120.0,0.5,1,244.8455
16,1.0,4.0,120.0,0.9,1,254.3118
16,1.0,4.0,120.0,1.0,163,340.4048
16,1.0,16.0,10.0,0.5,1,64.7661
